Full Name,Political Party,Party Short,Twitter,Notes,Image_Adress
İsmail Faruk Aksu,Miliyetçi Hareket Partisi,MHP,https://twitter.com/ifarukaksu,Ekonomik ve Sosyal Politikalar Başkanı,../../images/partiler/mhp.png
"İsmail Özdemir,Miliyetçi Hareket Partisi,MHP,https://twitter.com/ismailozdemirrr,""Medya, Tanıtım ve Halkla İlişkiler Başkanı""",,,,,../../images/partiler/undefined.jpg
Mevlüt Karakaya,Miliyetçi Hareket Partisi,MHP,https://twitter.com/KarakayaMevlut,Mali İşler Başkanı,../../images/partiler/mhp.png
Kamil Aydın,Miliyetçi Hareket Partisi,MHP,https://twitter.com/kamilaydinmhp,Türk Dünyası ve Uluslararası İlişkiler Başkanı,../../images/partiler/mhp.png
İzzet Ulvi Yönter,Miliyetçi Hareket Partisi,MHP,https://twitter.com/UlviYonter,Araştırma-Strateji Başkanı,../../images/partiler/mhp.png
Sadir Durmaz,Miliyetçi Hareket Partisi,MHP,https://twitter.com/sadirdurmaz,Yerel Yönetimler Başkanı,../../images/partiler/mhp.png
"Pelin Yıkık,Miliyetçi Hareket Partisi,MHP,https://twitter.com/drpelinyilik,""Aile, Kadın ve Engelli İlişkileri Başkanı""",,,,,../../images/partiler/undefined.jpg
Yaşar Yıldırım,Miliyetçi Hareket Partisi,MHP,https://twitter.com/yasaryldrmmhp,Mesleki ve Sivil Toplum Kuruluşlarları İlişkileri Başkanı,../../images/partiler/mhp.png
İsmet Büyükataman,Miliyetçi Hareket Partisi,MHP,https://twitter.com/buyukataman,Genel Sekreter,../../images/partiler/mhp.png
Filiz Kılıç,Miliyetçi Hareket Partisi,MHP,https://twitter.com/prfdrfilizkilic,Parti İçi Eğitim ve Siyaset Başkanı,../../images/partiler/mhp.png
Tamer Osmanağaoğlu,Miliyetçi Hareket Partisi,MHP,https://twitter.com/tmrosmanagaoglu,İdari ve Mali İşler Başkanı,../../images/partiler/mhp.png
Bahadır Bumin Özarslan,Miliyetçi Hareket Partisi,MHP,https://twitter.com/bbbozarslan,Siyasi ve Sosyal İlişkiler Başkanı,../../images/partiler/mhp.png
Ümit Özdağ,ZAFER Partisi,ZAFER,https://twitter.com/umitozdag,Genel Başkan,../../images/partiler/zafer.png
Adem Taşkaya,ZAFER Partisi,ZAFER,https://twitter.com/adem__taskaya,Bilişim ve Enformasyon Politikaları Başkanı,../../images/partiler/zafer.png
