Full Name,Political Party,Party Short,Twitter,Notes,Image_Adress
Adnan GÜNNAR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/adnangunnar,Trabzon,../../images/partiler/akp.png
Süleyman SOYLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/suleymansoylu,İstanbul,../../images/partiler/akp.png
Vecdi GÜNDOĞDU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/VecdiGundogdu,Kırklareli,../../images/partiler/chp.png
Ali İhsan ARSLAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ali_ihsanarslan,Ankara,../../images/partiler/akp.png
Burcu KÖKSAL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/Av_Burcu03,Afyonkarahisar,../../images/partiler/chp.png
Seyit TORUN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/Seyit_TORUN,Ordu,../../images/partiler/chp.png
Mustafa ADIGÜZEL,Cumhuriyet Halk Partisi,CHP,https://twitter.com/drmadiguzel,Ordu,../../images/partiler/chp.png
Berat ALBAYRAK,Adalet ve Kalkınma Partisi,AKP,,İstanbul,../../images/partiler/akp.png
Erdin BİRCAN,Cumhuriyet Halk Partisi,CHP,https://twitter.com/erdinbircan,Edirne,../../images/partiler/chp.png
Hakkı Saruhan OLUÇ,Halkların Demokratik Partisi,HDP,,İstanbul,../../images/partiler/hdp.png
Abdullah AĞRALI,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/agral_abdullah,Konya,../../images/partiler/akp.png
Hacı Ahmet ÖZDEMİR,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/haozdemir,Konya,../../images/partiler/akp.png
Recep UNCUOĞLU,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/uncuoglurecep,Sakarya,../../images/partiler/akp.png
Zehra TAŞKESENLİOĞLU BAN,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/ZTaskesenlioglu,Erzurum,../../images/partiler/akp.png
Halis DALKILIÇ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/halisdalkilic,İstanbul,../../images/partiler/akp.png
İmam TAŞÇIER,Halkların Demokratik Partisi,HDP,https://twitter.com/ImamTascier,Diyarbakır,../../images/partiler/hdp.png
Halil ETYEMEZ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/haliletyemez,Konya,../../images/partiler/akp.png
Rıdvan TURAN,Halkların Demokratik Partisi,HDP,https://twitter.com/DrRidvanTuran,Mersin,../../images/partiler/hdp.png
Okan GAYTANCIOĞLU,Cumhuriyet Halk Partisi,CHP,https://twitter.com/okangaytanciogl,Edirne,../../images/partiler/chp.png
